	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
36	Yer Blues	The Beatles	Lennon/McCartney	The Beatles (White Album) [Disc 2]		Rock	4826547	241	2.0	2.0	2.0	13.0	1968.0	8/22/07, 10:04 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file			1.0	12/25/13, 5:58 PM			60.0
37	Duke Ellington - 13.Doin' The Frog - Duke Ellington And His (Cotton Club) Orchestra	Duke Ellington	Duke Ellington	Early Ellington		Jazz	4593194	190	1.0	3.0		22.0	1968.0	3/11/14, 6:04 PM	5/18/12, 1:00 PM	192	44100		MPEG audio file			1.0	8/1/12, 10:36 PM			60.0
38	The Night They Drove Old Dixie Down	The Band	Band, The/Jaime Robbie Robertson	The Band		Rock	3437770	213	1.0	1.0	3.0	19.0	1969.0	12/23/06, 8:12 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	8/21/13, 10:25 PM			60.0
39	Come Together	The Beatles		Abbey Road		Rock	6251225	261			1.0	17.0	1969.0	1/29/09, 3:49 PM	1/29/09, 4:00 PM	191	44100		MPEG audio file		Ripped by DrOOcik :-)	1.0	3/25/13, 7:18 PM			60.0
40	Maxwell's Silver Hammer	The Beatles		Abbey Road		Rock	4841182	208			3.0	17.0	1969.0	1/29/09, 3:51 PM	1/29/09, 4:00 PM	185	44100		MPEG audio file		Ripped by DrOOcik :-)	1.0	3/25/13, 7:24 PM			60.0
41	Octopus's Gardern	The Beatles		Abbey Road		Rock	4262395	171			5.0	17.0	1969.0	1/29/09, 3:51 PM	1/29/09, 4:00 PM	199	44100		MPEG audio file		Ripped by DrOOcik :-)	1.0	3/25/13, 7:30 PM			60.0
42	Tell All The People	The Doors	Krieger	The Soft Parade		Rock	3254566	201	1.0	1.0	1.0	9.0	1969.0	4/19/05, 10:51 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
43	Runnin' Blue	The Doors	Krieger	The Soft Parade		Rock	2385441	148	1.0	1.0	7.0	9.0	1969.0	4/19/05, 10:53 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
44	The Soft Parade	The Doors	Morrison	The Soft Parade		Rock	8334166	514	1.0	1.0	9.0	9.0	1969.0	4/19/05, 10:55 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	11/12/13, 7:46 PM			60.0
45	Country Honk	The Rolling Stones	Keith Richards/Mick Jagger	Let It Bleed		Rock	3044410	190			3.0		1969.0	4/9/08, 10:56 PM	4/7/09, 3:49 PM	128	44100		MPEG audio file			5.0	3/25/14, 7:51 PM	1.0	3/25/14, 11:42 AM	60.0
46	The Boxer	Simon & Garfunkel	P. Simon	Bridge over Troubled Water (Old Friends)		Rock	4988838	309	3.0	3.0	6.0	10.0	1969.0	4/27/05, 7:15 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	6/3/14, 12:03 AM	1.0	2/28/09, 6:14 PM	60.0
47	Sensation	The Who	Pete Townshend	Tommy Demos		Rock	2792781	171			18.0	24.0	1969.0	12/28/06, 6:28 PM	1/21/09, 8:15 PM	128	44100		AAC audio file			1.0	11/4/12, 5:55 PM			60.0
48	Paperback Writer	The Beatles	John Lennon/Paul McCartney	Hey Jude		Rock	3362256	138			3.0		1970.0	2/24/09, 7:20 PM	3/5/09, 4:11 AM	193	44100		MPEG audio file			1.0	8/13/13, 6:45 AM			60.0
49	Miss Black America	Curtis Mayfield		Curtis		Funk	4532089	178			6.0	15.0	1970.0	2/7/09, 8:37 PM	2/7/09, 8:35 PM	192	44100		MPEG audio file			1.0	11/19/12, 2:23 AM			60.0
50	Working Class Hero	John Lennon	John Lennon	Plastic Ono Band		Rock	3696915	230	1.0	1.0	4.0	13.0	1970.0	4/29/05, 8:55 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			1.0	12/9/13, 6:12 AM			60.0
51	The Human Being Lawnmower	MC5	Davis/Kramer/Smith/Thompson/Tyner	The Big Bang!: Best Of The MC5		Alternative & Punk	2320682	142	1.0	1.0	14.0	21.0	1970.0	5/3/05, 1:55 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			1.0	3/16/14, 4:52 PM			60.0
52	Uncle Bob's Midnight Blues	Randy Newman		12 Songs		General Pop	3920125	122			12.0		1970.0	3/11/14, 6:35 PM	1/17/11, 9:56 PM	256	44100		MPEG audio file			2.0	12/8/13, 7:30 PM	1.0	3/15/14, 2:35 PM	60.0
53	I'm Eighteen	Alice Cooper	M. Bruce , A. Cooper , D. Dunaway , N. Smith , G. Buxton	Love It To Death		Rock	2882333	180	1.0	1.0	2.0	9.0	1971.0	4/21/05, 7:40 PM	7/3/08, 10:06 PM	128	44100		AAC audio file							60.0
54	Dance Dance Dance	Neil Young		Live At Massey Hall 1971		Rock	5656261	348	1.0	1.0	16.0	17.0	1971.0	4/15/07, 11:36 PM	1/28/09, 8:55 PM	128	44100		AAC audio file			1.0	10/30/12, 12:07 AM			60.0
55	Superman [Live]	New Riders Of The Purple Sage	John Dawson	New Riders Of The Purple Sage		Country	3953616	243	1.0	1.0	13.0	13.0	1971.0	12/27/06, 10:15 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
56	Judgement Of The Moon And Stars (Ludwig's Tune)	Joni Mitchell	Joni Mitchell	For The Roses		Folk	5129004	319	1.0	1.0	12.0	12.0	1972.0	11/30/06, 8:21 AM	6/8/10, 3:08 AM	128	44100		MPEG audio file			1.0	6/8/10, 3:22 AM			60.0
